Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	FlipAngle	HasFieldmap	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_session-BAS1_suffix-T1w__1	datatype-anat_session-BAS1_suffix-T1w	1	1047	176	256	256	0.00252	9	False	1047	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
				datatype-anat_session-FLU1_suffix-T1w__1	datatype-anat_session-FLU1_suffix-T1w	1	351	176	256	256	0.00252	9	False	351	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
				datatype-anat_session-FLU1_suffix-T2w__1	datatype-anat_session-FLU1_suffix-T2w	1	318	176	256	256	0.306	120	False	318	anat	0	1.0	False	2.0	1.0		3.2	False	1.0	1.0	1.0
				datatype-anat_session-BAS1_suffix-T2w__1	datatype-anat_session-BAS1_suffix-T2w	1	259	176	256	256	0.306	120	False	259	anat	0	1.0	False	2.0	1.0		3.2	False	1.0	1.0	1.0
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-BAS1_suffix-T1w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-BAS1_suffix-T1w	1	214	176	256	256	0.00252	9	False	214	anat	0	1.0	False			i-	1.9	False	1.0	0.9765625	0.9765625
				datatype-anat_session-TRT_suffix-T1w__1	datatype-anat_session-TRT_suffix-T1w	1	192	176	256	256	0.00252	9	False	192	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
				datatype-anat_session-FLU2_suffix-T2w__1	datatype-anat_session-FLU2_suffix-T2w	1	179	176	256	256	0.306	120	False	179	anat	0	1.0	False	2.0	1.0		3.2	False	1.0	1.0	1.0
				datatype-anat_session-FLU2_suffix-T1w__1	datatype-anat_session-FLU2_suffix-T1w	1	122	176	256	256	0.00252	9	False	122	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-FLU2_suffix-T1w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-FLU2_suffix-T1w	1	120	176	256	256	0.00252	9	False	120	anat	0	1.0	False			i-	1.9	False	1.0	0.9765625	0.9765625
				datatype-anat_session-BAS2_suffix-T1w__1	datatype-anat_session-BAS2_suffix-T1w	1	89	176	256	256	0.00252	9	False	89	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
