participant_id	study	ses_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
sub-A00008326	NKI	ses-BAS2	-25	1	1	1	1	1	1	Pass
sub-A00019903	NKI	ses-BAS1	-182	1	1	1	1	1	1	Pass
sub-A00027159	NKI	ses-FLU1	-111	1	1	1	1	1	1	Pass
sub-A00027167	NKI	ses-FLU1	-150	1	1	1	1	1	1	Pass
sub-A00027439	NKI	ses-TRT	-78	1	1	1	1	1	1	Pass
sub-A00028207	NKI	ses-BAS1	-52	1	1	1	1	1	1	Pass
sub-A00028287	NKI	ses-BAS1	-55	1	1	1	1	1	1	Pass
sub-A00028389	NKI	ses-BAS1	-60	1	1	1	1	1	1	Pass
sub-A00029127	NKI	ses-BAS1	-71	1	1	1	1	1	1	Pass
sub-A00030912	NKI	ses-BAS1	-47	0.75	1	1	1	1	0.95	Artifact
sub-A00031219	NKI	ses-BAS2	-36	1	1	1	1	1	1	Pass
sub-A00031272	NKI	ses-BAS1	-91	1	1	1	1	1	1	Pass
sub-A00033609	NKI	ses-BAS1	-93	1	1	1	1	1	1	Pass
sub-A00034385	NKI	ses-BAS1	-32	1	1	1	1	1	1	Pass
sub-A00035054	NKI	ses-BAS1	-133	0.75	1	1	1	0.5	0.85	Artifact
sub-A00035562	NKI	ses-BAS1	-64	1	1	1	0.5	1	0.9	Artifact
sub-A00035951	NKI	ses-BAS1	-45	1	1	1	1	1	1	Pass
sub-A00037110	NKI	ses-BAS1	-51	1	1	1	1	1	1	Pass
sub-A00037111	NKI	ses-BAS1	-76	0.75	1	1	1	1	0.95	Artifact
sub-A00037118	NKI	ses-BAS1	-46	1	1	1	1	1	1	Pass
sub-A00037126	NKI	ses-TRT	-163	1	0.5	1	0.5	0.25	0.65	Artifact
sub-A00037386	NKI	ses-BAS1	-67	1	1	1	1	1	1	Pass
sub-A00037726	NKI	ses-BAS1	-32	1	1	1	0.75	1	0.95	Artifact
sub-A00037784	NKI	ses-BAS1	-50	1	1	1	1	1	1	Pass
sub-A00037817	NKI	ses-BAS1	-86	1	1	1	1	1	1	Pass
sub-A00038519	NKI	ses-BAS1	-57	1	1	1	1	1	1	Pass
sub-A00038706	NKI	ses-BAS1	-78	0.75	1	1	0.75	1	0.9	Artifact
sub-A00038806	NKI	ses-BAS2	-65	1	1	1	1	1	1	Pass
sub-A00039074	NKI	ses-BAS1	-54	1	1	1	1	1	1	Pass
sub-A00039159	NKI	ses-BAS1	-59	1	1	1	1	1	1	Pass
sub-A00039168	NKI	ses-BAS1	-212	0.75	0.75	1	1	1	0.9	Artifact
sub-A00039431	NKI	ses-BAS1	-40	1	1	1	1	1	1	Pass
sub-A00039500	NKI	ses-BAS1	-61	1	1	1	1	1	1	Pass
sub-A00039593	NKI	ses-BAS1	-24	1	1	1	1	1	1	Pass
sub-A00039655	NKI	ses-BAS1	-74	1	1	1	1	1	1	Pass
sub-A00039846	NKI	ses-BAS2	-52	1	1	1	1	1	1	Pass
sub-A00039895	NKI	ses-BAS1	-55	1	1	1	1	1	1	Pass
sub-A00039943	NKI	ses-BAS1	-50	1	1	1	1	1	1	Pass
sub-A00039951	NKI	ses-FLU2	-68	0.5	1	1	0.75	0.5	0.75	Artifact
sub-A00039975	NKI	ses-FLU1	-131	1	1	1	0.75	0.75	0.9	Artifact
sub-A00040104	NKI	ses-BAS1	-38	1	1	1	1	1	1	Pass
sub-A00040525	NKI	ses-BAS1	-44	1	1	1	1	1	1	Pass
sub-A00040599	NKI	ses-BAS1	-65	1	1	1	1	1	1	Pass
sub-A00040629	NKI	ses-BAS1	-82	1	1	1	1	0.75	0.95	Artifact
sub-A00040891	NKI	ses-BAS1	-28	1	1	1	0.75	0.75	0.9	Artifact
sub-A00043325	NKI	ses-BAS1	-153	0.75	0.5	0.5	0.5	0.5	0.55	Artifact
sub-A00043417	NKI	ses-BAS1	-59	1	1	1	1	1	1	Pass
sub-A00043677	NKI	ses-BAS1	-94	1	1	1	1	1	1	Pass
sub-A00043740	NKI	ses-TRT	-88	1	0.75	1	0.75	1	0.9	Artifact
sub-A00043788	NKI	ses-BAS1	-125	1	1	1	1	1	1	Pass
sub-A00043790	NKI	ses-BAS1	-41	1	1	1	1	1	1	Pass
sub-A00044012	NKI	ses-BAS1	-45	1	1	1	1	1	1	Pass
sub-A00044344	NKI	ses-BAS1	-72	1	1	1	1	0.75	0.95	Artifact
sub-A00044408	NKI	ses-BAS1	-41	1	1	1	1	1	1	Pass
sub-A00051727	NKI	ses-BAS1	-30	1	1	1	1	1	1	Pass
sub-A00051727	NKI	ses-TRT	-29	1	1	1	0.75	1	0.95	Artifact
sub-A00051758	NKI	ses-BAS1	-118	1	1	1	1	1	1	Pass
sub-A00052118	NKI	ses-BAS1	-33	1	1	1	1	1	1	Pass
sub-A00052181	NKI	ses-BAS1	-54	1	1	1	1	1	1	Pass
sub-A00052234	NKI	ses-FLU2	-89	1	1	1	1	1	1	Pass
sub-A00052235	NKI	ses-BAS1	-94	1	1	1	1	1	1	Pass
sub-A00052500	NKI	ses-BAS1	-76	1	1	1	1	1	1	Pass
sub-A00052577	NKI	ses-FLU2	-35	1	1	1	1	1	1	Pass
sub-A00052639	NKI	ses-BAS1	-37	1	1	1	1	1	1	Pass
sub-A00053171	NKI	ses-FLU1	-206	1	1	1	1	1	1	Pass
sub-A00053369	NKI	ses-BAS1	-58	0.75	1	1	0.5	0.5	0.75	Artifact
sub-A00053744	NKI	ses-TRT	-48	1	1	1	1	1	1	Pass
sub-A00053949	NKI	ses-BAS2	-138	1	1	1	1	1	1	Pass
sub-A00054482	NKI	ses-BAS1	-73	1	1	1	0.75	1	0.95	Artifact
sub-A00054504	NKI	ses-BAS1	-65	1	1	1	1	1	1	Pass
sub-A00054857	NKI	ses-BAS1	-34	1	1	1	1	1	1	Pass
sub-A00055076	NKI	ses-TRT	-109	1	1	1	1	1	1	Pass
sub-A00055121	NKI	ses-BAS1	-63	1	1	1	1	1	1	Pass
